,date_of_interest,case_count,probable_case_count,hospitalized_count,death_count,probable_death_count,case_count_7day_avg,all_case_count_7day_avg,hosp_count_7day_avg,death_count_7day_avg,all_death_count_7day_avg,bx_case_count,bx_probable_case_count,bx_hospitalized_count,bx_death_count,bx_probable_death_count,bx_case_count_7day_avg,bx_probable_case_count_7day_avg,bx_all_case_count_7day_avg,bx_hospitalized_count_7day_avg,bx_death_count_7day_avg,bx_all_death_count_7day_avg,bk_case_count,bk_probable_case_count,bk_hospitalized_count,bk_death_count,bk_probable_death_count,bk_case_count_7day_avg,bk_probable_case_count_7day_avg,bk_all_case_count_7day_avg,bk_hospitalized_count_7day_avg,bk_death_count_7day_avg,bk_all_death_count_7day_avg,mn_case_count,mn_probable_case_count,mn_hospitalized_count,mn_death_count,mn_probable_death_count,mn_case_count_7day_avg,mn_probable_case_count_7day_avg,mn_all_case_count_7day_avg,mn_hospitalized_count_7day_avg,mn_death_count_7day_avg,mn_all_death_count_7day_avg,qn_case_count,qn_probable_case_count,qn_hospitalized_count,qn_death_count,qn_probable_death_count,qn_case_count_7day_avg,qn_probable_case_count_7day_avg,qn_all_case_count_7day_avg,qn_hospitalized_count_7day_avg,qn_death_count_7day_avg,qn_all_death_count_7day_avg,si_case_count,si_probable_case_count,si_hospitalized_count,si_death_count,si_probable_death_count,si_probable_case_count_7day_avg,si_case_count_7day_avg,si_all_case_count_7day_avg,si_hospitalized_count_7day_avg,si_death_count_7day_avg,si_all_death_count_7day_avg,incomplete,N1_copies_per_day_per_population,N1_copies_per_day_per_population_LI
0,2020-08-31,315,16,42,1,0,254,275,29,3,4,46,6,9,1,0,50,6,56,6,1,1,118,5,14,0,0,85,7,92,11,1,1,52,2,6,0,0,45,2,47,3,0,1,77,3,12,0,0,57,5,62,7,1,1,22,0,1,0,0,1,17,17,2,0,0,0,383476.0764153825,383476.0764153825
1,2020-09-01,294,34,20,3,0,256,279,26,3,4,52,9,5,1,0,49,7,55,6,1,1,89,16,9,0,0,86,9,94,10,0,0,55,4,1,0,0,45,2,48,2,0,1,73,4,5,1,0,58,4,62,7,1,1,24,1,1,1,0,1,18,19,2,0,0,0,,240708.77320769127
2,2020-09-02,271,25,28,4,1,250,273,26,3,4,42,6,4,0,0,45,6,52,6,1,1,94,10,14,2,1,83,9,92,10,1,1,48,6,1,1,0,45,3,48,2,0,1,69,3,10,1,0,58,4,62,8,1,1,17,0,0,0,0,1,18,19,1,0,0,0,97941.47,97941.47
3,2020-09-03,273,29,18,2,1,250,274,25,3,4,40,5,2,0,0,44,6,50,5,1,1,91,5,7,2,1,81,9,90,10,1,1,35,4,1,0,0,43,3,46,2,0,1,90,11,7,0,0,62,5,67,7,1,1,17,4,1,0,0,1,19,20,1,0,0,0,,109976.17666526292
4,2020-09-04,230,20,31,5,1,242,267,26,3,4,44,2,10,1,1,39,6,45,6,1,1,71,8,8,1,0,80,9,89,9,1,1,30,4,2,1,0,40,3,43,2,0,1,59,4,9,2,0,63,5,68,8,1,1,26,2,2,0,0,1,20,21,1,0,0,0,,122010.88333052583
5,2020-09-05,156,11,22,3,0,246,269,26,3,4,30,3,5,0,0,39,5,44,5,1,1,46,5,10,3,0,82,8,90,10,1,2,22,0,2,0,0,40,3,43,2,0,0,34,3,5,0,0,63,5,68,8,1,1,24,0,0,0,0,1,22,23,1,0,0,0,,134045.58999578876
6,2020-09-06,207,24,31,6,0,249,272,27,3,4,18,4,4,2,0,39,5,44,6,1,1,87,7,15,1,0,85,8,93,11,1,2,27,6,3,1,0,38,4,42,2,0,0,62,6,8,2,0,66,5,71,8,1,1,13,1,1,0,0,1,20,22,1,0,0,0,146080.29666105166,146080.29666105166
7,2020-09-07,217,23,19,0,0,235,259,24,3,4,32,4,2,0,0,37,5,42,5,1,1,75,6,7,0,0,79,8,87,10,1,2,40,4,2,0,0,37,4,41,2,0,0,52,9,6,0,0,63,6,68,7,1,1,18,0,2,0,0,1,20,21,1,0,0,0,,1007447.5269524708
8,2020-09-08,393,23,26,2,0,250,272,25,3,4,81,5,8,1,0,41,4,45,5,1,1,126,3,8,1,0,84,6,91,10,1,2,58,5,3,0,0,37,4,41,2,0,0,98,8,6,0,0,66,6,73,7,1,1,30,2,1,0,0,1,21,22,1,0,0,0,1868814.7572438898,1868814.7572438898
9,2020-09-09,353,31,31,2,0,261,284,25,3,3,56,6,6,1,0,43,4,47,5,1,1,119,8,11,0,0,88,6,94,9,1,1,71,4,3,0,0,40,4,44,2,0,0,82,11,10,1,0,68,7,76,7,1,1,25,2,1,0,0,2,22,23,1,0,0,0,,1810625.2806924684
