g,t
"{""genreID"":2,""name"":Jazz}","{""milliseconds"":316682,""composer"":Miles Davis,""bytes"":10529483,""trackID"":616,""name"":Black Satin,""unitprice"":0.99}"
"{""genreID"":2,""name"":Jazz}","{""milliseconds"":473495,""composer"":Miles Davis,""bytes"":15478450,""trackID"":612,""name"":Nefertiti,""unitprice"":0.99}"
"{""genreID"":2,""name"":Jazz}","{""milliseconds"":197459,""composer"":Miles Davis,""bytes"":6358868,""trackID"":597,""name"":Now's The Time,""unitprice"":0.99}"
"{""genreID"":2,""name"":Jazz}","{""milliseconds"":843964,""bytes"":27967919,""composer"":Miles Davis,""trackID"":614,""name"":Miles Runs The Voodoo Down,""unitprice"":0.99}"
"{""genreID"":2,""name"":Jazz}","{""milliseconds"":220734,""composer"":Miles Davis,""bytes"":7292197,""trackID"":618,""name"":Time After Time,""unitprice"":0.99}"
"{""genreID"":2,""name"":Jazz}","{""milliseconds"":476003,""composer"":Miles Davis,""bytes"":15549224,""trackID"":603,""name"":Bye Bye Blackbird,""unitprice"":0.99}"
"{""genreID"":2,""name"":Jazz}","{""milliseconds"":168777,""composer"":Miles Davis,""bytes"":5437017,""trackID"":605,""name"":Generique,""unitprice"":0.99}"
"{""genreID"":2,""name"":Jazz}","{""milliseconds"":487392,""bytes"":16131272,""composer"":Miles Davis,""trackID"":613,""name"":Petits Machins (Little Stuff),""unitprice"":0.99}"
"{""genreID"":2,""name"":Jazz}","{""milliseconds"":200437,""composer"":Miles Davis,""bytes"":6461370,""trackID"":606,""name"":Summertime,""unitprice"":0.99}"
"{""genreID"":2,""name"":Jazz}","{""milliseconds"":345025,""composer"":Miles Davis,""bytes"":11254474,""trackID"":599,""name"":Compulsion,""unitprice"":0.99}"
"{""genreID"":2,""name"":Jazz}","{""milliseconds"":564009,""composer"":Miles Davis,""bytes"":18360449,""trackID"":607,""name"":So What,""unitprice"":0.99}"
"{""genreID"":2,""name"":Jazz}","{""milliseconds"":330684,""composer"":Miles Davis,""bytes"":11079866,""trackID"":611,""name"":E.S.P.,""unitprice"":0.99}"
"{""genreID"":2,""name"":Jazz}","{""milliseconds"":907520,""bytes"":29416781,""composer"":Miles Davis,""trackID"":610,""name"":My Funny Valentine (Live),""unitprice"":0.99}"
"{""genreID"":2,""name"":Jazz}","{""milliseconds"":231784,""composer"":Miles Davis,""bytes"":7548434,""trackID"":600,""name"":Tempus Fugit,""unitprice"":0.99}"
"{""genreID"":2,""name"":Jazz}","{""milliseconds"":233769,""composer"":Miles Davis,""bytes"":7593713,""trackID"":608,""name"":The Pan Piper,""unitprice"":0.99}"
"{""genreID"":2,""name"":Jazz}","{""milliseconds"":807392,""composer"":Miles Davis,""bytes"":26411634,""trackID"":601,""name"":Walkin',""unitprice"":0.99}"
"{""genreID"":2,""name"":Jazz}","{""milliseconds"":196101,""bytes"":6273225,""composer"":Miles Davis,""trackID"":615,""name"":Little Church (Live),""unitprice"":0.99}"
"{""genreID"":2,""name"":Jazz}","{""milliseconds"":277968,""composer"":Miles Davis,""bytes"":9018024,""trackID"":604,""name"":New Rhumba,""unitprice"":0.99}"
"{""genreID"":2,""name"":Jazz}","{""milliseconds"":378775,""composer"":Miles Davis,""bytes"":12520126,""trackID"":619,""name"":Portia,""unitprice"":0.99}"
"{""genreID"":2,""name"":Jazz}","{""milliseconds"":357459,""composer"":Miles Davis,""bytes"":11590284,""trackID"":602,""name"":'Round Midnight,""unitprice"":0.99}"
"{""genreID"":2,""name"":Jazz}","{""milliseconds"":544078,""bytes"":17890773,""composer"":Miles Davis,""trackID"":609,""name"":Someday My Prince Will Come,""unitprice"":0.99}"
"{""genreID"":2,""name"":Jazz}","{""milliseconds"":243461,""composer"":Miles Davis,""bytes"":7955114,""trackID"":617,""name"":Jean Pierre (Live),""unitprice"":0.99}"
"{""genreID"":2,""name"":Jazz}","{""milliseconds"":193410,""bytes"":6222536,""composer"":Miles Davis,""trackID"":598,""name"":Jeru,""unitprice"":0.99}"
