a,t
"{""albumID"":2,""title"":Balls to the Wall}","{""milliseconds"":342562,""composer"":UNKNOWN,""bytes"":5510424,""trackID"":2,""name"":Balls to the Wall,""unitprice"":0.99}"
"{""albumID"":14,""title"":Alcohol Fueled Brewtality Live! [Disc 1]}","{""milliseconds"":323683,""composer"":UNKNOWN,""bytes"":10642901,""trackID"":131,""name"":Intro/ Low Down,""unitprice"":0.99}"
"{""albumID"":14,""title"":Alcohol Fueled Brewtality Live! [Disc 1]}","{""milliseconds"":246987,""composer"":UNKNOWN,""bytes"":8137421,""trackID"":132,""name"":13 Years Of Grief,""unitprice"":0.99}"
"{""albumID"":14,""title"":Alcohol Fueled Brewtality Live! [Disc 1]}","{""milliseconds"":300747,""composer"":UNKNOWN,""bytes"":9869647,""trackID"":133,""name"":Stronger Than Death,""unitprice"":0.99}"
"{""albumID"":14,""title"":Alcohol Fueled Brewtality Live! [Disc 1]}","{""milliseconds"":235833,""composer"":UNKNOWN,""bytes"":7726948,""trackID"":134,""name"":All For You,""unitprice"":0.99}"
"{""albumID"":14,""title"":Alcohol Fueled Brewtality Live! [Disc 1]}","{""milliseconds"":319373,""composer"":UNKNOWN,""bytes"":10513905,""trackID"":135,""name"":Super Terrorizer,""unitprice"":0.99}"
"{""albumID"":14,""title"":Alcohol Fueled Brewtality Live! [Disc 1]}","{""milliseconds"":273606,""composer"":UNKNOWN,""bytes"":9011701,""trackID"":136,""name"":Phoney Smile Fake Hellos,""unitprice"":0.99}"
"{""albumID"":14,""title"":Alcohol Fueled Brewtality Live! [Disc 1]}","{""milliseconds"":284081,""composer"":UNKNOWN,""bytes"":9355309,""trackID"":137,""name"":Lost My Better Half,""unitprice"":0.99}"
"{""albumID"":14,""title"":Alcohol Fueled Brewtality Live! [Disc 1]}","{""milliseconds"":247327,""composer"":UNKNOWN,""bytes"":8130090,""trackID"":138,""name"":Bored To Tears,""unitprice"":0.99}"
"{""albumID"":14,""title"":Alcohol Fueled Brewtality Live! [Disc 1]}","{""milliseconds"":266266,""composer"":UNKNOWN,""bytes"":8574746,""trackID"":139,""name"":A.N.D.R.O.T.A.Z.,""unitprice"":0.99}"
"{""albumID"":14,""title"":Alcohol Fueled Brewtality Live! [Disc 1]}","{""milliseconds"":282122,""composer"":UNKNOWN,""bytes"":9257358,""trackID"":140,""name"":Born To Booze,""unitprice"":0.99}"
"{""albumID"":14,""title"":Alcohol Fueled Brewtality Live! [Disc 1]}","{""milliseconds"":359157,""composer"":UNKNOWN,""bytes"":11820932,""trackID"":141,""name"":World Of Trouble,""unitprice"":0.99}"
"{""albumID"":14,""title"":Alcohol Fueled Brewtality Live! [Disc 1]}","{""milliseconds"":555075,""composer"":UNKNOWN,""bytes"":18041629,""trackID"":142,""name"":No More Tears,""unitprice"":0.99}"
"{""albumID"":14,""title"":Alcohol Fueled Brewtality Live! [Disc 1]}","{""milliseconds"":365662,""composer"":UNKNOWN,""bytes"":11965109,""trackID"":143,""name"":The Begining... At Last,""unitprice"":0.99}"
"{""albumID"":15,""title"":Alcohol Fueled Brewtality Live! [Disc 2]}","{""milliseconds"":194873,""composer"":UNKNOWN,""bytes"":6417460,""trackID"":144,""name"":Heart Of Gold,""unitprice"":0.99}"
"{""albumID"":15,""title"":Alcohol Fueled Brewtality Live! [Disc 2]}","{""milliseconds"":420022,""composer"":UNKNOWN,""bytes"":13842549,""trackID"":145,""name"":Snowblind,""unitprice"":0.99}"
"{""albumID"":15,""title"":Alcohol Fueled Brewtality Live! [Disc 2]}","{""milliseconds"":276532,""composer"":UNKNOWN,""bytes"":9115657,""trackID"":146,""name"":Like A Bird,""unitprice"":0.99}"
"{""albumID"":15,""title"":Alcohol Fueled Brewtality Live! [Disc 2]}","{""milliseconds"":284368,""composer"":UNKNOWN,""bytes"":9359475,""trackID"":147,""name"":Blood In The Wall,""unitprice"":0.99}"
"{""albumID"":15,""title"":Alcohol Fueled Brewtality Live! [Disc 2]}","{""milliseconds"":271960,""composer"":UNKNOWN,""bytes"":8975814,""trackID"":148,""name"":The Beginning...At Last,""unitprice"":0.99}"
"{""albumID"":16,""title"":Black Sabbath}","{""milliseconds"":382066,""composer"":UNKNOWN,""bytes"":12440200,""trackID"":149,""name"":Black Sabbath,""unitprice"":0.99}"
